iter	Passed	Remaining
0	6	6384
1	12	6057
2	17	5881
3	23	5830
4	28	5766
5	35	5806
6	40	5786
7	46	5772
8	52	5821
9	58	5802
10	64	5767
11	69	5752
12	77	5885
13	83	5856
14	88	5837
15	94	5818
16	100	5802
17	106	5797
18	112	5792
19	118	5790
20	123	5763
21	129	5756
22	137	5846
23	143	5853
24	149	5844
25	155	5835
26	161	5817
27	167	5800
28	173	5794
29	178	5781
30	184	5760
31	190	5750
32	198	5809
33	204	5805
34	216	5973
35	226	6064
36	232	6046
37	237	6012
38	243	5997
39	251	6038
40	257	6026
41	263	6013
42	269	5993
43	272	5916
44	278	5901
45	283	5887
46	289	5875
47	295	5863
48	301	5851
49	307	5840
50	317	5914
51	323	5903
52	329	5881
53	334	5867
54	340	5853
55	346	5839
56	352	5827
57	357	5809
58	363	5802
59	374	5865
60	380	5851
61	385	5838
62	393	5848
63	398	5833
64	404	5820
65	410	5804
66	415	5791
67	423	5808
68	429	5800
69	436	5795
70	442	5784
71	447	5770
72	453	5762
73	459	5750
74	465	5737
75	470	5725
76	476	5709
77	482	5701
78	488	5689
79	493	5675
80	501	5687
81	507	5680
82	512	5665
83	520	5672
84	525	5658
85	531	5646
86	537	5639
87	543	5632
88	549	5622
89	555	5613
90	561	5604
91	566	5595
92	573	5589
93	579	5580
94	585	5575
95	591	5570
96	597	5566
97	604	5559
98	610	5551
99	616	5544
100	622	5537
101	628	5531
102	634	5522
103	640	5518
104	646	5511
105	652	5505
106	658	5496
107	664	5490
108	671	5486
109	677	5479
110	683	5471
111	689	5465
112	695	5459
113	701	5453
114	707	5446
115	713	5438
116	719	5431
117	725	5423
118	731	5417
119	737	5410
120	743	5403
121	749	5397
122	755	5390
123	762	5385
124	769	5385
125	775	5375
126	781	5371
127	790	5383
128	796	5379
129	803	5374
130	809	5367
131	816	5367
132	823	5367
133	830	5369
134	838	5369
135	844	5365
136	851	5361
137	858	5360
138	866	5366
139	872	5359
140	881	5369
141	888	5368
142	895	5365
143	901	5358
144	907	5350
145	914	5348
146	920	5340
147	927	5336
148	933	5333
149	940	5328
150	952	5353
151	962	5371
152	971	5377
153	980	5387
154	986	5378
155	995	5387
156	1003	5387
157	1012	5398
158	1016	5374
159	1022	5370
160	1030	5370
161	1036	5361
162	1043	5357
163	1049	5349
164	1055	5343
165	1062	5336
166	1069	5334
167	1075	5325
168	1081	5317
169	1087	5310
170	1094	5307
171	1100	5298
172	1107	5291
173	1112	5282
174	1119	5277
175	1126	5272
176	1133	5272
177	1140	5267
178	1146	5258
179	1153	5256
180	1160	5251
181	1167	5247
182	1173	5240
183	1180	5236
184	1188	5234
185	1194	5228
186	1202	5226
187	1211	5230
188	1220	5237
189	1226	5229
190	1234	5230
191	1241	5223
192	1250	5227
193	1256	5219
194	1263	5215
195	1273	5222
196	1281	5222
197	1287	5214
198	1294	5209
199	1301	5205
200	1307	5195
201	1314	5194
202	1321	5186
203	1329	5186
204	1335	5179
205	1343	5177
206	1349	5171
207	1356	5165
208	1365	5168
209	1373	5165
210	1381	5167
211	1388	5162
212	1396	5158
213	1402	5149
214	1412	5157
215	1418	5150
216	1425	5144
217	1432	5138
218	1438	5131
219	1445	5123
220	1451	5115
221	1457	5107
222	1463	5099
223	1469	5090
224	1475	5081
225	1481	5073
226	1487	5066
227	1493	5057
228	1499	5048
229	1505	5039
230	1511	5030
231	1517	5022
232	1522	5012
233	1528	5004
234	1534	4996
235	1540	4988
236	1546	4979
237	1552	4971
238	1558	4963
239	1565	4955
240	1570	4946
241	1576	4938
242	1582	4930
243	1591	4931
244	1597	4923
245	1603	4915
246	1609	4907
247	1615	4899
248	1621	4891
249	1630	4891
250	1636	4883
251	1642	4875
252	1649	4869
253	1654	4859
254	1661	4853
255	1667	4846
256	1673	4837
257	1678	4828
258	1684	4820
259	1690	4812
260	1696	4804
261	1702	4796
262	1708	4788
263	1714	4780
264	1720	4773
265	1819	5020
266	1830	5024
267	1836	5015
268	1842	5008
269	1848	4999
270	1856	4992
271	1864	4989
272	1870	4981
273	1876	4972
274	1884	4967
275	1890	4960
276	1897	4952
277	1904	4946
278	1911	4939
279	1917	4929
280	1923	4920
281	1929	4911
282	1934	4902
283	1940	4892
284	1949	4892
285	1956	4884
286	1962	4875
287	1968	4867
288	1974	4858
289	1980	4849
290	1987	4841
291	1993	4832
292	1999	4824
293	2006	4817
294	2012	4808
295	2018	4800
296	2024	4791
297	2030	4782
298	2035	4773
299	2042	4765
300	2048	4757
301	2054	4748
302	2060	4740
303	2066	4731
304	2072	4723
305	2078	4714
306	2085	4707
307	2092	4702
308	2099	4694
309	2105	4686
310	2112	4680
311	2119	4674
312	2126	4666
313	2132	4659
314	2138	4650
315	2144	4641
316	2150	4633
317	2156	4624
318	2162	4615
319	2168	4607
320	2174	4599
321	2180	4590
322	2186	4582
323	2192	4573
324	2198	4565
325	2204	4557
326	2210	4549
327	2218	4544
328	2225	4539
329	2231	4531
330	2241	4529
331	2252	4532
332	2262	4532
333	2269	4525
334	2279	4525
335	2285	4516
336	2295	4516
337	2301	4508
338	2309	4504
339	2316	4495
340	2323	4489
341	2329	4481
342	2335	4474
343	2345	4472
344	2352	4465
345	2359	4459
346	2370	4460
347	2378	4455
348	2389	4457
349	2395	4449
350	2405	4447
351	2412	4440
352	2419	4434
353	2425	4426
354	2432	4418
355	2439	4413
356	2445	4405
357	2452	4398
358	2458	4390
359	2466	4385
360	2472	4376
361	2478	4368
362	2485	4360
363	2491	4352
364	2496	4343
365	2502	4335
366	2508	4326
367	2513	4317
368	2519	4308
369	2525	4300
370	2531	4291
371	2536	4282
372	2542	4273
373	2548	4265
374	2553	4256
375	2559	4248
376	2565	4239
377	2571	4230
378	2576	4222
379	2582	4214
380	2588	4205
381	2594	4197
382	2600	4188
383	2606	4180
384	2611	4172
385	2617	4164
386	2623	4156
387	2629	4147
388	2635	4139
389	2641	4131
390	2647	4123
391	2653	4115
392	2659	4107
393	2664	4098
394	2670	4090
395	2676	4082
396	2682	4074
397	2688	4066
398	2694	4058
399	2702	4053
400	2708	4045
401	2714	4038
402	2720	4030
403	2726	4021
404	2732	4014
405	2738	4006
406	2744	3998
407	2750	3990
408	2756	3983
409	2762	3975
410	2768	3967
411	2774	3959
412	2780	3951
413	2786	3943
414	2793	3937
415	2799	3930
416	2806	3923
417	2812	3916
418	2818	3908
419	2824	3900
420	2830	3892
421	2836	3885
422	2842	3877
423	2848	3869
424	2854	3862
425	2860	3854
426	2867	3848
427	2873	3840
428	2880	3833
429	2886	3826
430	2893	3819
431	2902	3816
432	2910	3811
433	2916	3804
434	2923	3796
435	2930	3790
436	2936	3783
437	2943	3776
438	2949	3768
439	2955	3761
440	2961	3754
441	2967	3746
442	2974	3739
443	2980	3732
444	2986	3724
445	2992	3717
446	2998	3709
447	3004	3701
448	3008	3692
449	3014	3684
450	3021	3677
451	3026	3669
452	3032	3661
453	3038	3654
454	3044	3646
455	3050	3639
456	3056	3631
457	3062	3624
458	3068	3616
459	3073	3607
460	3079	3600
461	3085	3592
462	3090	3584
463	3096	3577
464	3102	3569
465	3107	3561
466	3113	3553
467	3118	3545
468	3124	3537
469	3130	3529
470	3135	3521
471	3141	3513
472	3146	3506
473	3152	3498
474	3157	3490
475	3163	3482
476	3169	3474
477	3174	3466
478	3179	3458
479	3185	3451
480	3191	3443
481	3198	3437
482	3204	3430
483	3211	3423
484	3217	3416
485	3222	3408
486	3229	3401
487	3235	3394
488	3241	3387
489	3247	3379
490	3252	3372
491	3258	3364
492	3264	3357
493	3271	3350
494	3277	3343
495	3283	3336
496	3289	3328
497	3295	3321
498	3301	3315
499	3307	3307
500	3314	3300
501	3323	3296
502	3329	3289
503	3334	3281
504	3340	3274
505	3346	3267
506	3353	3260
507	3358	3253
508	3364	3245
509	3371	3239
510	3379	3233
511	3385	3227
512	3391	3220
513	3399	3214
514	3407	3208
515	3412	3201
516	3418	3194
517	3426	3188
518	3432	3180
519	3438	3174
520	3444	3167
521	3452	3161
522	3457	3153
523	3463	3145
524	3469	3138
525	3475	3131
526	3480	3124
527	3486	3116
528	3492	3109
529	3498	3102
530	3503	3094
531	3509	3087
532	3515	3080
533	3521	3072
534	3527	3066
535	3533	3058
536	3539	3051
537	3545	3044
538	3551	3037
539	3556	3029
540	3562	3022
541	3568	3015
542	3574	3008
543	3580	3001
544	3586	2994
545	3592	2987
546	3598	2980
547	3604	2973
548	3610	2966
549	3617	2959
550	3623	2952
551	3629	2945
552	3635	2938
553	3641	2931
554	3647	2924
555	3653	2917
556	3659	2910
557	3665	2903
558	3671	2896
559	3677	2889
560	3683	2882
561	3689	2875
562	3695	2868
563	3703	2862
564	3710	2856
565	3723	2855
566	3729	2848
567	3736	2841
568	3743	2835
569	3749	2828
570	3756	2822
571	3762	2815
572	3768	2808
573	3774	2801
574	3780	2794
575	3786	2787
576	3793	2780
577	3799	2774
578	3806	2767
579	3812	2760
580	3819	2754
581	3825	2747
582	3831	2740
583	3838	2733
584	3843	2726
585	3850	2720
586	3855	2712
587	3864	2707
588	3870	2700
589	3876	2693
590	3882	2686
591	3888	2679
592	3893	2672
593	3900	2665
594	3906	2658
595	3911	2651
596	3917	2644
597	3924	2638
598	3930	2631
599	3936	2624
600	3942	2617
601	3948	2610
602	3953	2603
603	3959	2596
604	3966	2589
605	3971	2582
606	3977	2575
607	3983	2568
608	3989	2561
609	3995	2554
610	4001	2547
611	4007	2540
612	4012	2533
613	4019	2526
614	4024	2519
615	4031	2512
616	4037	2506
617	4043	2499
618	4048	2492
619	4054	2485
620	4060	2478
621	4066	2471
622	4072	2464
623	4079	2458
624	4085	2451
625	4092	2444
626	4098	2438
627	4104	2431
628	4110	2424
629	4116	2417
630	4122	2410
631	4127	2403
632	4133	2396
633	4139	2389
634	4145	2383
635	4152	2376
636	4158	2369
637	4165	2363
638	4171	2356
639	4177	2349
640	4183	2342
641	4189	2335
642	4195	2329
643	4201	2322
644	4208	2316
645	4214	2309
646	4221	2303
647	4229	2297
648	4236	2291
649	4242	2284
650	4248	2277
651	4255	2271
652	4261	2264
653	4268	2258
654	4274	2251
655	4281	2245
656	4287	2238
657	4293	2231
658	4300	2225
659	4306	2218
660	4313	2212
661	4319	2205
662	4325	2198
663	4331	2192
664	4337	2185
665	4343	2178
666	4349	2171
667	4355	2164
668	4361	2157
669	4367	2151
670	4373	2144
671	4378	2137
672	4384	2130
673	4391	2123
674	4397	2117
675	4403	2110
676	4409	2103
677	4415	2097
678	4422	2090
679	4428	2084
680	4434	2077
681	4441	2070
682	4446	2063
683	4452	2057
684	4461	2051
685	4467	2044
686	4472	2037
687	4478	2031
688	4484	2024
689	4490	2017
690	4496	2010
691	4503	2004
692	4509	1997
693	4515	1990
694	4521	1984
